objectid,file name,title,format,isbn-10,isbn-13,subject,dimensions,language,page count,publisher
item001,anatomy.jpg,The Anatomy Coloring Book - 4th Edition,image/jpeg,321832019,978-0321832016,Anatomy,8.5 x 1.2 x 10.85 inches,en,384,Pearson
item002,biology.jpg,"Biology Coloring Workbook, 2nd Edition: An Easier and Better Way to Learn Biology",image/jpeg,451487788,978-0451487780,Biology,8.4 x 0.92 x 10.82 inches,en,384,Princeton Review
item003,zen.jpg,"Zensational Adult Coloring Book: Zen inspired philosophical and motivational, images and designs that help relieve stress and anxiety",image/jpeg,na,979-8398467062,Meditation ,8.5 x 0.23 x 11 inches,en,100,Ted E Care Publishing
item004,plant.jpg,The Plant Parent Coloring Book: Beautiful Houseplant Love and Care,image/jpeg,1951728181,978-1951728182,Horticulture ,8.5 x 0.15 x 11 inches,en,65,"Eclectic Esquire Media, LLC"
item005,stress.jpg,Stress Relief Coloring Book for Adults,image/jpeg,1648766099,‎978-1648766091,Meditation ,8.5 x 0.2 x 11 inches,en,72,Rockridge Press
item006,tagalong.jpg,Tagalog Picture Dictionary Coloring Book: Over 1500 Tagalog Words and Phrases for Creative & Visual Learners of All Ages (Color and Learn),image/jpeg,1951949676,978-1951949679,Language,8.5 x 0.43 x 11 inches,en,190,Lingo Mastery
item007,multiplication.jpg,"Color by math, multiplication and division for kids ages 8-12",image/jpeg,na,979-8843969578,Math ,8.5 x 0.17 x 11 inches,en,72,Three Sparrows
item008,life.jpg,Life under the lens: A Scientific Colouring Book,image/jpeg,1999742206,978-1999742201,Biology ,8.5 x 0.24 x 11 inches,en,106,Jenifer Delany
item009,picture9.jpg,Color By Math! Activity Coloring Book for Kids,image/jpeg,1541909607,978-1541909601,Math ,8.5 x 0.24 x 11 inches,en,106,Speedy Kids
item010,icandothis.jpg,I Can Do This!: Coloring Book of Inspirational Quotes & Mindfulness Mandala Animal Artwork for Teens and Adults,image/jpeg,na,979-8988493167,Meditation ,8.5 x 0.23 x 8.5 inches,en,102,"Happy Hobble Books, LLC"
